accession	serotype	segment	Organism_Name	Host	Collection_Date
607DYEX8UKG.1	R1	VP1	"607DYEX8UKG.1 |R1-RVA/Human-tc/USA/Wa/1974/G1P8 segment VP1, complete sequence"		
AZ5SENJRG91.1	R1	VP1	"AZ5SENJRG91.1 |R1-RVA/Human-tc/JPN/KU/1974/G1P8 segment VP1, complete sequence"		
ZGMZW8JTONL.1	R1	VP1	"ZGMZW8JTONL.1 |R1-RVA/Human-wt/BGD/Dhaka16/2003/G1P8 segment VP1, complete sequence"		
NN9E0CSOOHI.1	R1	VP1	"NN9E0CSOOHI.1 |R1-RVA/Human-tc/USA/D/1974/G1P8 segment VP1, complete sequence"		
TD4LE66LCZF.1	R1	VP1	"TD4LE66LCZF.1 |R1-RVA/Human-tc/GBR/ST3/1975/G4P6 segment VP1, complete sequence"		
S2T1OJICQZ1.1	R1	VP1	"S2T1OJICQZ1.1 |R1-RVA/Human-tc/BRA/IAL28/1992/G5P8 segment VP1, complete sequence"		
EVFN0Z7P3WW.1	R1	VP1	"EVFN0Z7P3WW.1 |R1-RVA/Human-tc/USA/P/1974/G3P8 segment VP1, complete sequence"		
BHH5923IDJO.1	R1	VP1	"BHH5923IDJO.1 |R1-RVA/Human-wt/BEL/B4633/2003/G12P8 segment VP1, complete sequence"		
VZYDITXKS5U.1	R1	VP1	"VZYDITXKS5U.1 |R1-RVA/Human-wt/BGD/Dhaka25/2002/G12P8 segment VP1, complete sequence"		
S8RT6YWNA2K.1	R1	VP1	"S8RT6YWNA2K.1 |R1-RVA/Human-tc/USA/WI61/1983/G9P8 segment VP1, complete sequence"		
1NOEW5YZ0MA.1	R1	VP1	"1NOEW5YZ0MA.1 |R1-RVA/Human-wt/BEL/B3458/2003/G9P8 segment VP1, complete sequence"		
PA4B63IRA3Q.1	R1	VP1	"PA4B63IRA3Q.1 |R1-RVA/Pig-tc/VEN/A253/1988/G11P7 segment VP1, complete sequence"		
GN1UT15I8C6.1	R1	VP1	"GN1UT15I8C6.1 |R1-RVA/Human-wt/BGD/Dhaka12/2003/G12P6 segment VP1, complete sequence"		
JMF62S5UXEA.1	R1	VP1	"JMF62S5UXEA.1 |R1-RVA/Human-wt/BGD/Matlab13/2003/G12P6 segment VP1, complete sequence"		
9GW4NG4WD80.1	R1	VP1	"9GW4NG4WD80.1 |R1-RVA/Pig-tc/MEX/YM/1983/G11P7 segment VP1, complete sequence"		
7K5T0TCTCS9.1	R1	VP1	"7K5T0TCTCS9.1 |R1-RVA/Human-wt/BGD/Dhaka6/2001/G11P25 segment VP1, complete sequence"		
V37OXZWAH22.1	R1	VP1	"V37OXZWAH22.1 |R1-RVA/Pig-tc/USA/OSU/1977/G5P7 segment VP1, complete sequence"		
FAJES7803HD.1	R1	VP1	"FAJES7803HD.1 |R1-RVA/Pig-tc/VEN/A131/1988/G3P7 segment VP1, complete sequence"		
OSNM2HZ9QIZ.1	R1	VP1	"OSNM2HZ9QIZ.1 |R1-RVA/Pig-tc/USA/Gottfried/1983/G4P6 segment VP1, complete sequence"		
TWCX5VH2FAP.1	R2	VP1	"TWCX5VH2FAP.1 |R2-RVA/Human-tc/USA/DS-1/1976/G2P4 segment VP1, complete sequence"		
6UMKVUJKNZV.1	R2	VP1	"6UMKVUJKNZV.1 |R2-RVA/Human-wt/CHN/TB-Chen/1996/G2P4 segment VP1, complete sequence"		
GXC1P0N95J2.1	R2	VP1	"GXC1P0N95J2.1 |R2-RVA/Human-wt/BEL/B4106/2000/G3P14 segment VP1, complete sequence"		
ZAC1KBGNU9J.1	R2	VP1	"ZAC1KBGNU9J.1 |R2-RVA/Human-wt/BEL/B1711/2002/G6P6 segment VP1, complete sequence"		
THPQYHJ15MH.1	R2	VP1	"THPQYHJ15MH.1 |R2-RVA/Human-tc/USA/Se584/1998/G6P9 segment VP1, complete sequence"		
BKEALWHA12F.1	R2	VP1	"BKEALWHA12F.1 |R2-RVA/Human-wt/HUN/Hun5/1997/G6P14 segment VP1, complete sequence"		
NPQN68Z8IBO.1	R2	VP1	"NPQN68Z8IBO.1 |R2-RVA/Human-tc/AUS/MG6/1993/G6P14 segment VP1, complete sequence"		
8EYW554G68U.1	R2	VP1	"8EYW554G68U.1 |R2-RVA/Human-tc/ITA/PA169/1988/G6P14 segment VP1, complete sequence"		
U4CPGYPSAE1.1	R2	VP1	"U4CPGYPSAE1.1 |R2-RVA/Human-wt/ITA/111-05-27/2005/G6P14 segment VP1, complete sequence"		
QMC4HRR4QB1.1	R2	VP1	"QMC4HRR4QB1.1 |R2-RVA/Human-wt/BEL/B10925/1997/G6P14 segment VP1, complete sequence"		
874TQQ4M7RV.1	R2	VP1	"874TQQ4M7RV.1 |R2-RVA/Human-wt/COD/DRC86/2003/G8P6 segment VP1, complete sequence"		
OOTTD358OWN.1	R2	VP1	"OOTTD358OWN.1 |R2-RVA/Human-wt/COD/DRC88/2003/G8P8 segment VP1, complete sequence"		
DIX1S34OHHY.1	R2	VP1	"DIX1S34OHHY.1 |R2-RVA/Human-tc/IND/69M/1980/G8P10 segment VP1, complete sequence"		
