accession	serotype	segment	Organism_Name	Host	Collection_Date
MF580840.1	G9	VP7	"MF580840.1 |Human rotavirus A isolate Hu/JS2010 segment 9, complete sequence"	Homo sapiens	
MF580841.1	G9	VP7	"MF580841.1 |Human rotavirus A isolate Hu/JS2011 segment 9, complete sequence"	Homo sapiens	
MF580842.1	G9	VP7	"MF580842.1 |Human rotavirus A isolate Hu/JS2012 segment 9, complete sequence"	Homo sapiens	
MF580843.1	G9	VP7	"MF580843.1 |Human rotavirus A isolate Hu/JS2013 segment 9, complete sequence"	Homo sapiens	
MF580844.1	G9	VP7	"MF580844.1 |Human rotavirus A isolate Hu/JS2014 segment 9, complete sequence"	Homo sapiens	
MF580845.1	G9	VP7	"MF580845.1 |Human rotavirus A isolate Hu/JS2015 segment 9, complete sequence"	Homo sapiens	
MF580846.1	G9	VP7	"MF580846.1 |Human rotavirus A isolate Hu/JS2016 segment 9, complete sequence"	Homo sapiens	
OR453284.1	G9	VP7	"OR453284.1 |Human rotavirus A strain 20150577 segment 9, complete sequence"	Homo sapiens	
OR453280.1	G9	VP7	"OR453280.1 |Human rotavirus A strain 20180078 segment 9, complete sequence"	Homo sapiens	
OR453285.1	G9	VP7	"OR453285.1 |Human rotavirus A strain 20180200 segment 9, complete sequence"	Homo sapiens	
OR453286.1	G9	VP7	"OR453286.1 |Human rotavirus A strain 20180341 segment 9, complete sequence"	Homo sapiens	
OR453281.1	G9	VP7	"OR453281.1 |Human rotavirus A strain 20190046 segment 9, complete sequence"	Homo sapiens	
OR453283.1	G9	VP7	"OR453283.1 |Human rotavirus A strain 20200445 segment 9, complete sequence"	Homo sapiens	
OR453287.1	G9	VP7	"OR453287.1 |Human rotavirus A strain 20210124 segment 9, complete sequence"	Homo sapiens	
OR453288.1	G9	VP7	"OR453288.1 |Human rotavirus A strain 20210223 segment 9, complete sequence"	Homo sapiens	
OR453282.1	G9	VP7	"OR453282.1 |Human rotavirus A strain 20210265 segment 9, complete sequence"	Homo sapiens	
OR453289.1	G9	VP7	"OR453289.1 |Human rotavirus A strain 20220921 segment 9, complete sequence"	Homo sapiens	
OR453279.1	G9	VP7	"OR453279.1 |Human rotavirus A strain 20220996 segment 9, complete sequence"	Homo sapiens	
OR453277.1	G9	VP7	"OR453277.1 |Human rotavirus A strain 226411002 segment 9, complete sequence"	Homo sapiens	
OR453278.1	G9	VP7	"OR453278.1 |Human rotavirus A strain 226421001 segment 9, complete sequence"	Homo sapiens	
OR453276.1	G9	VP7	"OR453276.1 |Human rotavirus A strain 226421013 segment 9, complete sequence"	Homo sapiens	
JF766583.1	G9	VP7	"JF766583.1 |Human rotavirus A strain CAU05-202 segment 9, complete sequence"	Homo sapiens	
JF766594.1	G9	VP7	"JF766594.1 |Human rotavirus A strain CAU09-371 segment 9, complete sequence"	Homo sapiens	
JF766605.1	G9	VP7	"JF766605.1 |Human rotavirus A strain CAU09-376 segment 9, complete sequence"	Homo sapiens	
KJ187604.1	G3	VP7	"KJ187604.1 |Human rotavirus A strain CAU12-2-51 segment 9, complete sequence"	Homo sapiens	
KF447844.1	G4	VP7	"KF447844.1 |Human rotavirus A strain GX77 segment 9, complete sequence"	Homo sapiens	
KF447855.1	G4	VP7	"KF447855.1 |Human rotavirus A strain GX78 segment 9, complete sequence"	Homo sapiens	
KF447866.1	G4	VP7	"KF447866.1 |Human rotavirus A strain GX82 segment 9, complete sequence"	Homo sapiens	
EU708585.1	G3	VP7	"EU708585.1 |Human rotavirus A strain RVA/Human-tc/CHN/E566/2007/G3P[8] segment 9, complete sequence"	Homo sapiens	
KF371682.1	G3	VP7	"KF371682.1 |Human rotavirus A strain RVA/Human-tc/CHN/L148/2004/G3P[8] segment 9, complete sequence"	Homo sapiens	
DQ873677.1	G3	VP7	"DQ873677.1 |Human rotavirus A strain RVA/Human-tc/CHN/R709/2005/G3P[8] segment 9, complete sequence"	Homo sapiens	
DQ873678.1	G3	VP7	"DQ873678.1 |Human rotavirus A strain RVA/Human-tc/CHN/Y111/2004/G3P[8] segment 9, complete sequence"	Homo sapiens	
KF371713.1	G3	VP7	"KF371713.1 |Human rotavirus A strain RVA/Human-wt/CHN/31/2002/G3P[8] segment 9, complete sequence"	Homo sapiens	
KF371724.1	G3	VP7	"KF371724.1 |Human rotavirus A strain RVA/Human-wt/CHN/723/2003/G3P[8] segment 9, complete sequence"	Homo sapiens	
KF371735.1	G3	VP7	"KF371735.1 |Human rotavirus A strain RVA/Human-wt/CHN/A16/2000/G3P[8] segment 9, complete sequence"	Homo sapiens	
KF371746.1	G3	VP7	"KF371746.1 |Human rotavirus A strain RVA/Human-wt/CHN/E093/2007/G3P[8] segment 9, complete sequence"	Homo sapiens	
KF371790.1	G3	VP7	"KF371790.1 |Human rotavirus A strain RVA/Human-wt/CHN/E1367/2008/G3P[8] segment 9, complete sequence"	Homo sapiens	
KF371801.1	G3	VP7	"KF371801.1 |Human rotavirus A strain RVA/Human-wt/CHN/E1857/2009/G3P[8] segment 9, complete sequence"	Homo sapiens	
KF371812.1	G3	VP7	"KF371812.1 |Human rotavirus A strain RVA/Human-wt/CHN/E1861/2009/G3P[8] segment 9, complete sequence"	Homo sapiens	
KF371823.1	G3	VP7	"KF371823.1 |Human rotavirus A strain RVA/Human-wt/CHN/E2000/2010/G3P[8] segment 9, complete sequence"	Homo sapiens	
KF371834.1	G3	VP7	"KF371834.1 |Human rotavirus A strain RVA/Human-wt/CHN/E2421/2010/G3P[8] segment 9, complete sequence"	Homo sapiens	
KF371845.1	G3	VP7	"KF371845.1 |Human rotavirus A strain RVA/Human-wt/CHN/E2422/2010/G3P[8] segment 9, complete sequence"	Homo sapiens	
KF371856.1	G3	VP7	"KF371856.1 |Human rotavirus A strain RVA/Human-wt/CHN/E2432/2010/G3P[8] segment 9, complete sequence"	Homo sapiens	
KF371867.1	G3	VP7	"KF371867.1 |Human rotavirus A strain RVA/Human-wt/CHN/E2461/2011/G3P[8] segment 9, complete sequence"	Homo sapiens	
KF726044.1	G4	VP7	"KF726044.1 |Human rotavirus A strain RVA/Human-wt/CHN/E2484/2011/G4P[8] segment 9, complete sequence"	Homo sapiens	
KF371878.1	G3	VP7	"KF371878.1 |Human rotavirus A strain RVA/Human-wt/CHN/E2835/2011/G3P[8] segment 9, complete sequence"	Homo sapiens	
KF371889.1	G3	VP7	"KF371889.1 |Human rotavirus A strain RVA/Human-wt/CHN/E3239/2012/G3P[8] segment 9, complete sequence"	Homo sapiens	
KF371757.1	G3	VP7	"KF371757.1 |Human rotavirus A strain RVA/Human-wt/CHN/E329/2007/G3P[8] segment 9, complete sequence"	Homo sapiens	
KF371768.1	G3	VP7	"KF371768.1 |Human rotavirus A strain RVA/Human-wt/CHN/E707/2007/G3P[8] segment 9, complete sequence"	Homo sapiens	
EU708602.1	G4	VP7	"EU708602.1 |Human rotavirus A strain RVA/Human-wt/CHN/E931/2008/G4P[6] segment 9, complete sequence"	Homo sapiens	
KF371779.1	G3	VP7	"KF371779.1 |Human rotavirus A strain RVA/Human-wt/CHN/E956/2008/G3P[8] segment 9, complete sequence"	Homo sapiens	
MW383983.1	G9	VP7	"MW383983.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-102/2018/G9P[8] segment 9, complete sequence"	Homo sapiens	
MW383994.1	G9	VP7	"MW383994.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-107/2018/G9P[8] segment 9, complete sequence"	Homo sapiens	
MW384005.1	G9	VP7	"MW384005.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-110/2018/G9P[8] segment 9, complete sequence"	Homo sapiens	
MW384016.1	G9	VP7	"MW384016.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-113/2018/G9P[8] segment 9, complete sequence"	Homo sapiens	
MW384027.1	G9	VP7	"MW384027.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-114/2018/G9P[8] segment 9, complete sequence"	Homo sapiens	
MW384038.1	G9	VP7	"MW384038.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-115/2018/G9P[8] segment 9, complete sequence"	Homo sapiens	
MW384049.1	G9	VP7	"MW384049.1 |Human rotavirus A strain RVA/Human-wt/CHN/Fuzhou18-118/2018/G9P[8] segment 9, complete sequence"	Homo sapiens	
