accession	serotype	segment	Organism_Name	Host	Collection_Date
7JJ0E2TO78O.1	P1	VP4	"7JJ0E2TO78O.1 |P1-RVA/Human-tc/IND/MP409/1993/G8P1 segment VP4, complete sequence"		
FBTWIHIO1J8.1	P1	VP4	"FBTWIHIO1J8.1 |P1-RVA/Guanaco-wt/ARG/Rio_Negro/1998/G8P1 segment VP4, complete sequence"		
06SHWO7CU7G.1	P1	VP4	"06SHWO7CU7G.1 |P1-RVA/Cow-tc/FRA/RF/1982/G6P1 segment VP4, complete sequence"		
KAGOZ25396Z.1	P1	VP4	"KAGOZ25396Z.1 |P1-RVA/LabStr/USA/SA11g4O-5N/XXXX/G3P1 segment VP4, complete sequence"		
NOOJJEDKES6.1	P2	VP4	"NOOJJEDKES6.1 |P2-RVA/Simian-tc/ZAF/SA11-H96/1958/G3P2 segment VP4, complete sequence"		
0W8EFL9VR19.1	P3	VP4	"0W8EFL9VR19.1 |P3-RVA/Dog-tc/AUS/K9/1981/G3P3 segment VP4, complete sequence"		
9YLFKX0OXHF.1	P3	VP4	"9YLFKX0OXHF.1 |P3-RVA/Dog-tc/USA/CU-1/1982/G3P3 segment VP4, complete sequence"		
5GCNUE5AS2T.1	P4	VP4	"5GCNUE5AS2T.1 |P4-RVA/Human-tc/USA/DS-1/1976/G2P4 segment VP4, complete sequence"		
F7W1CNP6XG4.1	P4	VP4	"F7W1CNP6XG4.1 |P4-RVA/Human-wt/CHN/TB-Chen/1996/G2P4 segment VP4, complete sequence"		
1H6DAIISEL0.1	P4	VP4	"1H6DAIISEL0.1 |P4-RVA/Human-tc/PHL/L26/1987/G12P4 segment VP4, complete sequence"		
K4NXB3O3MCJ.1	P5	VP4	"K4NXB3O3MCJ.1 |P5-RVA/Cow-tc/GBR/UK/1973/G6P5 segment VP4, complete sequence"		
GSMIGHXW9UR.1	P5	VP4	"GSMIGHXW9UR.1 |P5-RVA/Cow-tc/USA/WC3/1981/G6P5 segment VP4, complete sequence"		
1U3EDJNK7OT.1	P6	VP4	"1U3EDJNK7OT.1 |P6-RVA/Human-wt/BGD/Dhaka12/2003/G12P6 segment VP4, complete sequence"		
DGAKSOWPO0D.1	P6	VP4	"DGAKSOWPO0D.1 |P6-RVA/Human-wt/BGD/Matlab13/2003/G12P6 segment VP4, complete sequence"		
