accession	serotype	segment	Organism_Name	Host	Collection_Date
8AR0WYVSS5L.1	I1	VP6	"8AR0WYVSS5L.1 |I1-RVA/Human-wt/BEL/B4633/2003/G12P8 segment VP6, complete sequence"		
ORRJNJL0353.1	I1	VP6	"ORRJNJL0353.1 |I1-RVA/Human-wt/BGD/Dhaka25/2002/G12P8 segment VP6, complete sequence"		
PJDO951G357.1	I1	VP6	"PJDO951G357.1 |I1-RVA/Human-wt/BGD/Dhaka12/2003/G12P6 segment VP6, complete sequence"		
F6D4KKHTCW6.1	I1	VP6	"F6D4KKHTCW6.1 |I1-RVA/Human-wt/BGD/Matlab13/2003/G12P6 segment VP6, complete sequence"		
G3IV71YGDQ1.1	I1	VP6	"G3IV71YGDQ1.1 |I1-RVA/Human-tc/USA/WI61/1983/G9P8 segment VP6, complete sequence"		
7G8UDVN1MO8.1	I1	VP6	"7G8UDVN1MO8.1 |I1-RVA/Human-wt/BEL/B3458/2003/G9P8 segment VP6, complete sequence"		
I3WE0570DR4.1	I1	VP6	"I3WE0570DR4.1 |I1-RVA/Pig-tc/USA/Gottfried/1983/G4P6 segment VP6, complete sequence"		
8H86CJ34UQH.1	I1	VP6	"8H86CJ34UQH.1 |I1-RVA/Human-tc/GBR/ST3/1975/G4P6 segment VP6, complete sequence"		
M8H8H7EFZ12.1	I1	VP6	"M8H8H7EFZ12.1 |I1-RVA/Human-tc/BRA/IAL28/1992/G5P8 segment VP6, complete sequence"		
PRLVT1O1FRG.1	I1	VP6	"PRLVT1O1FRG.1 |I1-RVA/Human-tc/USA/P/1974/G3P8 segment VP6, complete sequence"		
9TQKRF4E4EO.1	I1	VP6	"9TQKRF4E4EO.1 |I1-RVA/Human-tc/USA/Wa/1974/G1P8 segment VP6, complete sequence"		
GN1QM7JZ5AF.1	I1	VP6	"GN1QM7JZ5AF.1 |I1-RVA/Human-tc/JPN/KU/1974/G1P8 segment VP6, complete sequence"		
CCPFWF5H5MA.1	I1	VP6	"CCPFWF5H5MA.1 |I1-RVA/Human-wt/BGD/Dhaka16/2003/G1P8 segment VP6, complete sequence"		
L6C6UMN13JK.1	I1	VP6	"L6C6UMN13JK.1 |I1-RVA/Human-tc/USA/D/1974/G1P8 segment VP6, complete sequence"		
PVE2YNJJ42X.1	I2	VP6	"PVE2YNJJ42X.1 |I2-RVA/Human-tc/USA/DS-1/1976/G2P4 segment VP6, complete sequence"		
L060OBMJVDJ.1	I2	VP6	"L060OBMJVDJ.1 |I2-RVA/Simian-tc/ZAF/SA11-H96/1958/G3P2 segment VP6, complete sequence"		
G75DL7DYJED.1	I2	VP6	"G75DL7DYJED.1 |I2-RVA/Sheep-tc/ESP/OVR762/2002/G8P14 segment VP6, complete sequence"		
5U3YFYVOPDS.1	I2	VP6	"5U3YFYVOPDS.1 |I2-RVA/Rabbit-tc/ITA/30-96/1996/G3P14 segment VP6, complete sequence"		
S0HTX6IRACJ.1	I2	VP6	"S0HTX6IRACJ.1 |I2-RVA/Human-wt/CHN/TB-Chen/1996/G2P4 segment VP6, complete sequence"		
KXJ676RJEDL.1	I2	VP6	"KXJ676RJEDL.1 |I2-RVA/Human-wt/BEL/B4106/2000/G3P14 segment VP6, complete sequence"		
WMOU0BA95JY.1	I2	VP6	"WMOU0BA95JY.1 |I2-RVA/Cow-tc/FRA/RF/1982/G6P1 segment VP6, complete sequence"		
OQJV74WSWRD.1	I2	VP6	"OQJV74WSWRD.1 |I2-RVA/Cow-tc/GBR/UK/1973/G6P5 segment VP6, complete sequence"		
RBV3ACKQ4SR.1	I2	VP6	"RBV3ACKQ4SR.1 |I2-RVA/Cow-tc/USA/WC3/1981/G6P5 segment VP6, complete sequence"		
HNB9D8ISFQU.1	I2	VP6	"HNB9D8ISFQU.1 |I2-RVA/Human-wt/BEL/B1711/2002/G6P6 segment VP6, complete sequence"		
HLRJ4G0HKQ4.1	I2	VP6	"HLRJ4G0HKQ4.1 |I2-RVA/Human-tc/USA/Se584/1998/G6P9 segment VP6, complete sequence"		
RJBMWVEMRTZ.1	I2	VP6	"RJBMWVEMRTZ.1 |I2-RVA/Human-wt/HUN/Hun5/1997/G6P14 segment VP6, complete sequence"		
DINY584WNFA.1	I2	VP6	"DINY584WNFA.1 |I2-RVA/Human-tc/AUS/MG6/1993/G6P14 segment VP6, complete sequence"		
2J0ZROZZS8V.1	I2	VP6	"2J0ZROZZS8V.1 |I2-RVA/Human-tc/ITA/PA169/1988/G6P14 segment VP6, complete sequence"		
PJ6OEPHYY8S.1	I2	VP6	"PJ6OEPHYY8S.1 |I2-RVA/Human-wt/ITA/111-05-27/2005/G6P14 segment VP6, complete sequence"		
USDEWV19WX2.1	I2	VP6	"USDEWV19WX2.1 |I2-RVA/Human-wt/BEL/B10925/1997/G6P14 segment VP6, complete sequence"		
MX0RSIOF6BL.1	I2	VP6	"MX0RSIOF6BL.1 |I2-RVA/Human-wt/COD/DRC86/2003/G8P6 segment VP6, complete sequence"		
LYK27RM5ON6.1	I2	VP6	"LYK27RM5ON6.1 |I2-RVA/Human-wt/COD/DRC88/2003/G8P8 segment VP6, complete sequence"		
IFM6BAN5VXW.1	I2	VP6	"IFM6BAN5VXW.1 |I2-RVA/Human-tc/IND/69M/1980/G8P10 segment VP6, complete sequence"		
CX895UFPMXF.1	I2	VP6	"CX895UFPMXF.1 |I2-RVA/Human-tc/GBR/A64/1987/G10P14 segment VP6, complete sequence"		
Z0PH3K5ACIL.1	I2	VP6	"Z0PH3K5ACIL.1 |I2-RVA/Human-tc/PHL/L26/1987/G12P4 segment VP6, complete sequence"		
FX5PT0RZLOV.1	I2	VP6	"FX5PT0RZLOV.1 |I2-RVA/Human-wt/BGD/N26/2002/G12P6 segment VP6, complete sequence"		
