accession	serotype	segment	Organism_Name	Host	Collection_Date
01100TSA03K.1	E1	NSP4	"01100TSA03K.1 |E1-RVA/Human-tc/USA/Wa/1974/G1P8 segment NSP4, complete sequence"		
GKED0COLKIA.1	E1	NSP4	"GKED0COLKIA.1 |E1-RVA/Human-tc/JPN/KU/1974/G1P8 segment NSP4, complete sequence"		
8B5219M087W.1	E1	NSP4	"8B5219M087W.1 |E1-RVA/Human-wt/BGD/Dhaka16/2003/G1P8 segment NSP4, complete sequence"		
WY0B35YEMW4.1	E1	NSP4	"WY0B35YEMW4.1 |E1-RVA/Human-tc/USA/D/1974/G1P8 segment NSP4, complete sequence"		
JWLBJQNBXCQ.1	E1	NSP4	"JWLBJQNBXCQ.1 |E1-RVA/Human-tc/GBR/ST3/1975/G4P6 segment NSP4, complete sequence"		
DFMTNEZXAMO.1	E1	NSP4	"DFMTNEZXAMO.1 |E1-RVA/Human-tc/BRA/IAL28/1992/G5P8 segment NSP4, complete sequence"		
2FK8EESZQDA.1	E1	NSP4	"2FK8EESZQDA.1 |E1-RVA/Human-tc/USA/P/1974/G3P8 segment NSP4, complete sequence"		
3VJCMPV38GO.1	E1	NSP4	"3VJCMPV38GO.1 |E1-RVA/Pig-tc/VEN/A131/1988/G3P7 segment NSP4, complete sequence"		
EEKB1VRKM1E.1	E1	NSP4	"EEKB1VRKM1E.1 |E1-RVA/Pig-tc/USA/Gottfried/1983/G4P6 segment NSP4, complete sequence"		
WIJWNF9IDB1.1	E1	NSP4	"WIJWNF9IDB1.1 |E1-RVA/Pig-tc/USA/OSU/1977/G5P7 segment NSP4, complete sequence"		
E5WYX02KGAB.1	E1	NSP4	"E5WYX02KGAB.1 |E1-RVA/Pig-tc/VEN/A253/1988/G11P7 segment NSP4, complete sequence"		
P9UL5WOOD81.1	E1	NSP4	"P9UL5WOOD81.1 |E1-RVA/Pig-tc/MEX/YM/1983/G11P7 segment NSP4, complete sequence"		
ON1GTI4JNM6.1	E1	NSP4	"ON1GTI4JNM6.1 |E1-RVA/Human-tc/USA/WI61/1983/G9P8 segment NSP4, complete sequence"		
FJQQS9WQERW.1	E1	NSP4	"FJQQS9WQERW.1 |E1-RVA/Human-wt/BEL/B3458/2003/G9P8 segment NSP4, complete sequence"		
MCSWV1ON0KY.1	E1	NSP4	"MCSWV1ON0KY.1 |E1-RVA/Human-wt/BGD/Dhaka6/2001/G11P25 segment NSP4, complete sequence"		
259Y2JLHJ9T.1	E1	NSP4	"259Y2JLHJ9T.1 |E1-RVA/Human-wt/NPL/KTM368/2004/G11P25 segment NSP4, complete sequence"		
QJIBH2SEEY9.1	E1	NSP4	"QJIBH2SEEY9.1 |E1-RVA/Human-wt/BGD/Dhaka12/2003/G12P6 segment NSP4, complete sequence"		
D28MYJ1C4QS.1	E1	NSP4	"D28MYJ1C4QS.1 |E1-RVA/Human-wt/BGD/Matlab13/2003/G12P6 segment NSP4, complete sequence"		
AYMLOHIJGUK.1	E1	NSP4	"AYMLOHIJGUK.1 |E1-RVA/Human-wt/BGD/RV161/2000/G12P6 segment NSP4, complete sequence"		
A6A6K1ULU5V.1	E1	NSP4	"A6A6K1ULU5V.1 |E1-RVA/Human-wt/BEL/B4633/2003/G12P8 segment NSP4, complete sequence"		
NIEOHJIHL7X.1	E1	NSP4	"NIEOHJIHL7X.1 |E1-RVA/Human-wt/BGD/Dhaka25/2002/G12P8 segment NSP4, complete sequence"		
XCJ4TSTBEYI.1	E2	NSP4	"XCJ4TSTBEYI.1 |E2-RVA/Cow-tc/FRA/RF/1982/G6P1 segment NSP4, complete sequence"		
8TCLUDFGKXU.1	E2	NSP4	"8TCLUDFGKXU.1 |E2-RVA/Cow-tc/GBR/UK/1973/G6P5 segment NSP4, complete sequence"		
AF60AWXAQ4A.1	E2	NSP4	"AF60AWXAQ4A.1 |E2-RVA/Cow-tc/USA/WC3/1981/G6P5 segment NSP4, complete sequence"		
8K7OSVK4VS3.1	E2	NSP4	"8K7OSVK4VS3.1 |E2-RVA/Human-tc/USA/DS-1/1976/G2P4 segment NSP4, complete sequence"		
6DK7T84B255.1	E2	NSP4	"6DK7T84B255.1 |E2-RVA/Human-wt/CHN/TB-Chen/1996/G2P4 segment NSP4, complete sequence"		
M48LNGK2UGJ.1	E2	NSP4	"M48LNGK2UGJ.1 |E2-RVA/Simian-tc/ZAF/SA11-H96/1958/G3P2 segment NSP4, complete sequence"		
3ZJ9I4OI6HK.1	E2	NSP4	"3ZJ9I4OI6HK.1 |E2-RVA/Sheep-tc/ESP/OVR762/2002/G8P14 segment NSP4, complete sequence"		
S6THIH8SNA0.1	E2	NSP4	"S6THIH8SNA0.1 |E2-RVA/Human-wt/BEL/B1711/2002/G6P6 segment NSP4, complete sequence"		
781H81I8AVB.1	E2	NSP4	"781H81I8AVB.1 |E2-RVA/Human-tc/USA/Se584/1998/G6P9 segment NSP4, complete sequence"		
3M6GB9GK2XE.1	E2	NSP4	"3M6GB9GK2XE.1 |E2-RVA/Human-wt/HUN/Hun5/1997/G6P14 segment NSP4, complete sequence"		
JW5Q6ZXN004.1	E2	NSP4	"JW5Q6ZXN004.1 |E2-RVA/Human-tc/AUS/MG6/1993/G6P14 segment NSP4, complete sequence"		
3FJI5WPOP1J.1	E2	NSP4	"3FJI5WPOP1J.1 |E2-RVA/Human-tc/ITA/PA169/1988/G6P14 segment NSP4, complete sequence"		
K2Q6S6NHKG4.1	E2	NSP4	"K2Q6S6NHKG4.1 |E2-RVA/Human-wt/ITA/111-05-27/2005/G6P14 segment NSP4, complete sequence"		
XLNEKUBUTJ1.1	E2	NSP4	"XLNEKUBUTJ1.1 |E2-RVA/Human-wt/BEL/B10925/1997/G6P14 segment NSP4, complete sequence"		
HF7JAZ66XFR.1	E2	NSP4	"HF7JAZ66XFR.1 |E2-RVA/Human-wt/COD/DRC86/2003/G8P6 segment NSP4, complete sequence"		
1FCDYASGD1V.1	E2	NSP4	"1FCDYASGD1V.1 |E2-RVA/Human-wt/COD/DRC88/2003/G8P8 segment NSP4, complete sequence"		
FNI7T46VEJD.1	E2	NSP4	"FNI7T46VEJD.1 |E2-RVA/Human-tc/IND/69M/1980/G8P10 segment NSP4, complete sequence"		
VUI3JJ4ZMCL.1	E2	NSP4	"VUI3JJ4ZMCL.1 |E2-RVA/Human-tc/GBR/A64/1987/G10P14 segment NSP4, complete sequence"		
FCG6IOQVNGQ.1	E2	NSP4	"FCG6IOQVNGQ.1 |E2-RVA/Human-tc/PHL/L26/1987/G12P4 segment NSP4, complete sequence"		
959O1NRG3R9.1	E3	NSP4	"959O1NRG3R9.1 |E3-RVA/Human-tc/THA/T152/1998/G12P9 segment NSP4, complete sequence"		
9XL14OLL5HJ.1	E3	NSP4	"9XL14OLL5HJ.1 |E3-RVA/Human-tc/JPN/AU-1/1982/G3P9 segment NSP4, complete sequence"		
HOHFWJQD37U.1	E4	NSP4	"HOHFWJQD37U.1 |E4-RVA/Pigeon-tc/JPN/PO-13/1983/G18P17 segment NSP4, complete sequence"		
5FKM08TGPGN.1	E4	NSP4	"5FKM08TGPGN.1 |E4-RVA/Turkey-tc/IRL/Ty-1/1979/G17P17 segment NSP4, complete sequence"		
FIKHEKBLD37.1	E5	NSP4	"FIKHEKBLD37.1 |E5-RVA/Rabbit-tc/ITA/30-96/1996/G3P14 segment NSP4, complete sequence"		
IA9251IOKPY.1	E5	NSP4	"IA9251IOKPY.1 |E5-RVA/Human-wt/BEL/B4106/2000/G3P14 segment NSP4, complete sequence"		
DK1T1PNKFR5.1	E6	NSP4	"DK1T1PNKFR5.1 |E6-RVA/Human-wt/BGD/N26/2002/G12P6 segment NSP4, complete sequence"		
L2KBIV7FYEM.1	E6	NSP4	"L2KBIV7FYEM.1 |E6-RVA/Human-wt/BGD/RV176/2000/G12P6 segment NSP4, complete sequence"		
3M3MJDDFT8C.1	E7	NSP4	"3M3MJDDFT8C.1 |E7-RVA/Mouse-tc/USA/EW/XXXX/G16P16 segment NSP4, complete sequence"		
N52HDRH3XUE.1	E7	NSP4	"N52HDRH3XUE.1 |E7-RVA/Mouse-tc/XXX/EHP/1981/G16P20 segment NSP4, complete sequence"		
KNVGOYFOUQZ.1	E8	NSP4	"KNVGOYFOUQZ.1 |E8-RVA/Dog-tc/ITA/RV52-96/1996/G3P3 segment NSP4, complete sequence"		
PTMKERM0NZ2.1	E8	NSP4	"PTMKERM0NZ2.1 |E8-RVA/Cow-lab/GBR/PP-1/1976/G3P7 segment NSP4, complete sequence"		
YZEO8JWHLH6.1	E9	NSP4	"YZEO8JWHLH6.1 |E9-RVA/Pig-wt/THA/CMP034/2000/G2P27 segment NSP4, complete sequence"		
GD7MPLE1CI8.1	E9	NSP4	"GD7MPLE1CI8.1 |E9-A_G4_120 segment NSP4, complete sequence"		
NEL7ZHTH17M.1	E10	NSP4	"NEL7ZHTH17M.1 |E10-RVA/Avian-xx/XXX/Ch-1/XXXX/G19P17 segment NSP4, complete sequence"		
NUEF7IT1QNH.1	E11	NSP4	"NUEF7IT1QNH.1 |E11-RVA/Turkey-tc/IRL/Ty-3/1979/G7P17 segment NSP4, complete sequence"		
ODKX3X4SB9T.1	E2	NSP4	"ODKX3X4SB9T.1 |E2-RVA/Horse-tc/USA/FI-14/1981/G3P12 segment NSP4, complete sequence"		
R4MKAE7K8G5.1	E12	NSP4	"R4MKAE7K8G5.1 |E12-RVA/Guanaco-wt/ARG/Chubut/1999/G8P14 segment NSP4, complete sequence"		
ON988162.1	E32	NSP4	"ON988162.1 |Rotavirus A isolate RVA/Common shrew-wt/GER/KS11-0893/2010/G42P[58] segment NSP4, complete sequence"	Sorex araneus	2010
MZ054773.1	E30	NSP4	"MZ054773.1 |Rotavirus A isolate RVA/Common shrew-wt/GER/KS14-269/2014/G39P[55] segment 10 segment NSP4, complete sequence"	Sorex araneus	2014
LC638707.2	E31	NSP4	"LC638707.2 |Rotavirus A RVA/MultimammateMouse-wt/ZMB/MpR12/2012/G41P[57] NSP4 gene for non-structural glycoprotein 4, complete cds"	Mastomys natalensis	2012
MN528084.1	E28	NSP4	"MN528084.1 |Rotavirus A isolate RVA/Bat-wt/GAB/GKS-929/2009/G3P[2] NSP4 (NSP4) gene, complete cds"	Macronycteris gigas	2009
LC208554.1	E26	NSP4	"LC208554.1 |Rotavirus A RVA/Raccoon-tc/JPN/Rac-311/2011/G34P[17] NSP4 gene for non-structural protein NSP4, complete cds, strain: RVA/Raccoon-tc/JPN/Rac-311/2011/G34P[17]"	Procyon lotor	2011-08
LC277164.1	E27	NSP4	"LC277164.1 |Rotavirus A NSP4 gene for assembly protein, partial cds, isolate: RVA/Bat-wt/ZMB/ZFB14-126/2014/GxP[x]"	Rousettus aegyptiacus	2014-12
KX257412.1	E20	NSP4	"KX257412.1 |Rotavirus A strain RVA/Human-wt/SUR/2014735512/2013/G20P[28] segment 10 segment NSP4, complete sequence"	Homo sapiens	2013-02-15
