accession	serotype	segment	Organism_Name	Host	Collection_Date
LT134V37TQR.1	M1	VP3	"LT134V37TQR.1 |M1-RVA/Pig-tc/VEN/A131/1988/G3P7 segment VP3, complete sequence"		
UV1YI1MMITP.1	M1	VP3	"UV1YI1MMITP.1 |M1-RVA/Pig-tc/USA/Gottfried/1983/G4P6 segment VP3, complete sequence"		
3QKLNGLDYCH.1	M1	VP3	"3QKLNGLDYCH.1 |M1-RVA/Pig-tc/USA/OSU/1977/G5P7 segment VP3, complete sequence"		
H9ZV5ZTN7II.1	M1	VP3	"H9ZV5ZTN7II.1 |M1-RVA/Pig-tc/VEN/A253/1988/G11P7 segment VP3, complete sequence"		
6O8I83WEL15.1	M1	VP3	"6O8I83WEL15.1 |M1-RVA/Human-wt/BGD/Dhaka6/2001/G11P25 segment VP3, complete sequence"		
LYK558LPLFZ.1	M1	VP3	"LYK558LPLFZ.1 |M1-RVA/Human-wt/NPL/KTM368/2004/G11P25 segment VP3, complete sequence"		
BQNQTYSDCDU.1	M1	VP3	"BQNQTYSDCDU.1 |M1-RVA/Pig-tc/MEX/YM/1983/G11P7 segment VP3, complete sequence"		
7Y6N1YM5DFC.1	M1	VP3	"7Y6N1YM5DFC.1 |M1-RVA/Human-wt/BEL/B4633/2003/G12P8 segment VP3, complete sequence"		
TDAL5YXQ7M6.1	M1	VP3	"TDAL5YXQ7M6.1 |M1-RVA/Human-wt/BGD/Dhaka25/2002/G12P8 segment VP3, complete sequence"		
R9MBCD7JAK9.1	M1	VP3	"R9MBCD7JAK9.1 |M1-RVA/Human-tc/USA/Wa/1974/G1P8 segment VP3, complete sequence"		
2LL4OQAHVJ5.1	M1	VP3	"2LL4OQAHVJ5.1 |M1-RVA/Human-tc/JPN/KU/1974/G1P8 segment VP3, complete sequence"		
N2L8OMV7D90.1	M1	VP3	"N2L8OMV7D90.1 |M1-RVA/Human-wt/BGD/Dhaka16/2003/G1P8 segment VP3, complete sequence"		
3PAE1VHUS6M.1	M1	VP3	"3PAE1VHUS6M.1 |M1-RVA/Human-tc/USA/WI61/1983/G9P8 segment VP3, complete sequence"		
EHL0DFXHWE1.1	M1	VP3	"EHL0DFXHWE1.1 |M1-RVA/Human-wt/BGD/Dhaka12/2003/G12P6 segment VP3, complete sequence"		
