accession	serotype	segment	Organism_Name	Host	Collection_Date
O4C2E53QA6A.1	H1	NSP5	"O4C2E53QA6A.1 |H1-RVA/Human-tc/USA/Wa/1974/G1P8 segment NSP5, complete sequence"		
T4XK3SHHQ0K.1	H1	NSP5	"T4XK3SHHQ0K.1 |H1-RVA/Human-tc/JPN/KU/1974/G1P8 segment NSP5, complete sequence"		
5Z8K70JIWMU.1	H1	NSP5	"5Z8K70JIWMU.1 |H1-RVA/Human-wt/BGD/Dhaka16/2003/G1P8 segment NSP5, complete sequence"		
WV8PAM2ST3N.1	H1	NSP5	"WV8PAM2ST3N.1 |H1-RVA/Human-tc/USA/D/1974/G1P8 segment NSP5, complete sequence"		
W4ZCFNXAS0N.1	H1	NSP5	"W4ZCFNXAS0N.1 |H1-RVA/Human-tc/USA/P/1974/G3P8 segment NSP5, complete sequence"		
KF7C5GEQR6W.1	H1	NSP5	"KF7C5GEQR6W.1 |H1-RVA/Human-tc/GBR/ST3/1975/G4P6 segment NSP5, complete sequence"		
BTAYDEISTHF.1	H1	NSP5	"BTAYDEISTHF.1 |H1-RVA/Human-tc/BRA/IAL28/1992/G5P8 segment NSP5, complete sequence"		
KJ8SM89U5H0.1	H1	NSP5	"KJ8SM89U5H0.1 |H1-RVA/Human-tc/USA/WI61/1983/G9P8 segment NSP5, complete sequence"		
QYMYR4E4XF5.1	H1	NSP5	"QYMYR4E4XF5.1 |H1-RVA/Human-wt/BEL/B3458/2003/G9P8 segment NSP5, complete sequence"		
FZUP24MLQPJ.1	H1	NSP5	"FZUP24MLQPJ.1 |H1-RVA/Human-wt/BGD/Dhaka6/2001/G11P25 segment NSP5, complete sequence"		
0WNAA36L421.1	H1	NSP5	"0WNAA36L421.1 |H1-RVA/Human-wt/NPL/KTM368/2004/G11P25 segment NSP5, complete sequence"		
AAV4S61RUHS.1	H1	NSP5	"AAV4S61RUHS.1 |H1-RVA/Human-tc/PHL/L26/1987/G12P4 segment NSP5, complete sequence"		
VTJ9URSITJ3.1	H1	NSP5	"VTJ9URSITJ3.1 |H1-RVA/Human-wt/BGD/Dhaka12/2003/G12P6 segment NSP5, complete sequence"		
J65BL0WU5DW.1	H1	NSP5	"J65BL0WU5DW.1 |H1-RVA/Human-wt/BGD/Matlab13/2003/G12P6 segment NSP5, complete sequence"		
USD0V1L5LKU.1	H1	NSP5	"USD0V1L5LKU.1 |H1-RVA/Human-wt/BEL/B4633/2003/G12P8 segment NSP5, complete sequence"		
3TW1JV78AVN.1	H1	NSP5	"3TW1JV78AVN.1 |H1-RVA/Human-wt/BGD/Dhaka25/2002/G12P8 segment NSP5, complete sequence"		
I80K1J34GMB.1	H1	NSP5	"I80K1J34GMB.1 |H1-RVA/Pig-tc/VEN/A131/1988/G3P7 segment NSP5, complete sequence"		
IYQU9R4T2AC.1	H1	NSP5	"IYQU9R4T2AC.1 |H1-RVA/Pig-tc/USA/Gottfried/1983/G4P6 segment NSP5, complete sequence"		
274FT5EDF9A.1	H1	NSP5	"274FT5EDF9A.1 |H1-RVA/Pig-tc/USA/OSU/1977/G5P7 segment NSP5, complete sequence"		
H3DU01ASYYW.1	H1	NSP5	"H3DU01ASYYW.1 |H1-RVA/Pig-tc/VEN/A253/1988/G11P7 segment NSP5, complete sequence"		
WOWA1ZWD3W1.1	H1	NSP5	"WOWA1ZWD3W1.1 |H1-RVA/Pig-tc/MEX/YM/1983/G11P7 segment NSP5, complete sequence"		
PNAP4LIHD1O.1	H2	NSP5	"PNAP4LIHD1O.1 |H2-RVA/Human-wt/COD/DRC86/2003/G8P6 segment NSP5, complete sequence"		
MFTQFPJZZDS.1	H2	NSP5	"MFTQFPJZZDS.1 |H2-RVA/Human-wt/COD/DRC88/2003/G8P8 segment NSP5, complete sequence"		
BFT47FYAM6H.1	H2	NSP5	"BFT47FYAM6H.1 |H2-RVA/Human-tc/IND/69M/1980/G8P10 segment NSP5, complete sequence"		
1PBQ9PA01FV.1	H2	NSP5	"1PBQ9PA01FV.1 |H2-RVA/Human-wt/BEL/B1711/2002/G6P6 segment NSP5, complete sequence"		
EPFLD6O6PQD.1	H2	NSP5	"EPFLD6O6PQD.1 |H2-RVA/Human-tc/USA/DS-1/1976/G2P4 segment NSP5, complete sequence"		
8MVFOSVG71U.1	H2	NSP5	"8MVFOSVG71U.1 |H2-RVA/Human-wt/CHN/TB-Chen/1996/G2P4 segment NSP5, complete sequence"		
0PI20336PS4.1	H2	NSP5	"0PI20336PS4.1 |H2-RVA/Human-wt/BGD/N26/2002/G12P6 segment NSP5, complete sequence"		
UTSJYNQ1ZDO.1	H2	NSP5	"UTSJYNQ1ZDO.1 |H2-RVA/Human-wt/BGD/RV176/2000/G12P6 segment NSP5, complete sequence"		
LFU42D9J6DH.1	H2	NSP5	"LFU42D9J6DH.1 |H2-RVA/Human-wt/BGD/RV161/2000/G12P6 segment NSP5, complete sequence"		
78PVVG4R27A.1	H3	NSP5	"78PVVG4R27A.1 |H3-RVA/Sheep-tc/ESP/OVR762/2002/G8P14 segment NSP5, complete sequence"		
C5LHSNRTH67.1	H3	NSP5	"C5LHSNRTH67.1 |H3-RVA/Rabbit-tc/ITA/30-96/1996/G3P14 segment NSP5, complete sequence"		
NGH2AUU9A3P.1	H3	NSP5	"NGH2AUU9A3P.1 |H3-RVA/Human-wt/HUN/BP1062/2004/G8P14 segment NSP5, complete sequence"		
MXRR1KZX63X.1	H3	NSP5	"MXRR1KZX63X.1 |H3-RVA/Human-wt/HUN/BP1879/2003/G6P14 segment NSP5, complete sequence"		
6YAB5K09F1B.1	H3	NSP5	"6YAB5K09F1B.1 |H3-RVA/Human-tc/JPN/AU-1/1982/G3P9 segment NSP5, complete sequence"		
PSOBWXSZDMT.1	H3	NSP5	"PSOBWXSZDMT.1 |H3-RVA/Human-wt/BEL/B4106/2000/G3P14 segment NSP5, complete sequence"		
6M1CQHFC66X.1	H3	NSP5	"6M1CQHFC66X.1 |H3-RVA/Human-tc/USA/Se584/1998/G6P9 segment NSP5, complete sequence"		
4DSYKNAK8S0.1	H3	NSP5	"4DSYKNAK8S0.1 |H3-RVA/Human-wt/HUN/Hun5/1997/G6P14 segment NSP5, complete sequence"		
S1K1E2E1CPZ.1	H3	NSP5	"S1K1E2E1CPZ.1 |H3-RVA/Human-tc/AUS/MG6/1993/G6P14 segment NSP5, complete sequence"		
LANZ0VUUBCH.1	H3	NSP5	"LANZ0VUUBCH.1 |H3-RVA/Human-tc/ITA/PA169/1988/G6P14 segment NSP5, complete sequence"		
G3T9KFHA63E.1	H3	NSP5	"G3T9KFHA63E.1 |H3-RVA/Human-wt/ITA/111-05-27/2005/G6P14 segment NSP5, complete sequence"		
CK33NIXR271.1	H3	NSP5	"CK33NIXR271.1 |H3-RVA/Human-wt/BEL/B10925/1997/G6P14 segment NSP5, complete sequence"		
LZOS8ERPD3V.1	H3	NSP5	"LZOS8ERPD3V.1 |H3-RVA/Human-tc/GBR/A64/1987/G10P14 segment NSP5, complete sequence"		
NYX8DFGRQMY.1	H3	NSP5	"NYX8DFGRQMY.1 |H3-RVA/Cow-tc/FRA/RF/1982/G6P1 segment NSP5, complete sequence"		
LU5D009UN1R.1	H3	NSP5	"LU5D009UN1R.1 |H3-RVA/Cow-tc/GBR/UK/1973/G6P5 segment NSP5, complete sequence"		
R4P4PWIVHTS.1	H3	NSP5	"R4P4PWIVHTS.1 |H3-RVA/Cow-tc/USA/WC3/1981/G6P5 segment NSP5, complete sequence"		
T37XXJOP6ST.1	H4	NSP5	"T37XXJOP6ST.1 |H4-RVA/Pigeon-tc/JPN/PO-13/1983/G18P17 segment NSP5, complete sequence"		
DJLJFZRNN1T.1	H5	NSP5	"DJLJFZRNN1T.1 |H5-RVA/Simian-tc/ZAF/SA11-H96/1958/G3P2 segment NSP5, complete sequence"		
L5EYYN5J06J.1	H6	NSP5	"L5EYYN5J06J.1 |H6-RVA/Simian-tc/USA/RRV/1975/G3P3 segment NSP5, complete sequence"		
UMSRL6IJ879.1	H6	NSP5	"UMSRL6IJ879.1 |H6-RVA/Human-tc/THA/T152/1998/G12P9 segment NSP5, complete sequence"		
34I018XPK7K.1	H7	NSP5	"34I018XPK7K.1 |H7-RVA/Horse-wt/ARG/E30/1993/G3P12 segment NSP5, complete sequence"		
ON988163.1	H28	NSP5	"ON988163.1 |Rotavirus A isolate RVA/Common shrew-wt/GER/KS11-0893/2010/G42P[58] segment NSP5, complete sequence"	Sorex araneus	2010
MZ054774.1	H26	NSP5	"MZ054774.1 |Rotavirus A isolate RVA/Common shrew-wt/GER/KS14-269/2014/G39P[55] segment 11 segment NSP5, complete sequence"	Sorex araneus	2014
LC638708.2	H27	NSP5	"LC638708.2 |Rotavirus A RVA/MultimammateMouse-wt/ZMB/MpR12/2012/G41P[57] NSP5, NSP6 genes for non-structural protein 5, non-structural protein 6, complete cds"	Mastomys natalensis	2012
MN307985.1	H23	NSP5	"MN307985.1 |Rotavirus A isolate RVA/shrew-wt/GER/KS/11/2281/2011 segment NSP5, complete sequence"	Sorex araneus	2011
MH285847.1	H22	NSP5	"MH285847.1 |Bat rotavirus isolate BatRVA/KEN/BATp39/Rousettus aegyptiacus/2015 NSP5 (NSP5) gene, complete cds"	Rousettus aegyptiacus	2015-03
LC208555.1	H21	NSP5	"LC208555.1 |Rotavirus A RVA/Raccoon-tc/JPN/Rac-311/2011/G34P[17] NSP5 gene for non-structural protein NSP5, complete cds, strain: RVA/Raccoon-tc/JPN/Rac-311/2011/G34P[17]"	Procyon lotor	2011-08
KX257411.1	H15	NSP5	"KX257411.1 |Rotavirus A strain RVA/Human-wt/SUR/2014735512/2013/G20P[28] segment 11 segment NSP5, complete sequence"	Homo sapiens	2013-02-15
KX814941.1	H20	NSP5	"KX814941.1 |Rotavirus A isolate RVA/Bat-wt/CHN/GLRL1/2005/G33P[48] segment NSP5, complete sequence"	Rousettus leschenaultii	2005
KX268764.1	H17	NSP5	"KX268764.1 |Rotavirus A isolate Bat-wt/CMR/BatLi09/2014/G30P42_H17 segment NSP5, complete sequence"	Eidolon helvum	2014-04
KU243505.2	H19	NSP5	"KU243505.2 |Rotavirus G28 strain RVA/Shrew/CHN/LW9/2013 NSP5 gene, partial cds"	Homo sapiens	2013
LC088228.1	H16	NSP5	"LC088228.1 |Rotavirus A NSP5 gene for NSP5 protein, complete cds, strain: RVA/CommonGull-wt/JPN/Ho374/2013/G28P[39]"	Larus canus	2013
LC088124.1	H14	NSP5	"LC088124.1 |Rotavirus A NSP5 gene for NSP5 protein, complete cds, strain: RVA/Turkey-tc/IRL/Ty-3/1979/G7P[35]"	Meleagris gallopavo	1979
AB971770.1	H12	NSP5	"AB971770.1 |Rotavirus A NSP5 gene for non-structural protein 5, complete cds, strain: RVA/SugarGlider-tc/JPN/SG385/2012/G27P[36]"	Petaurus breviceps	2012-02-15
KJ879458.1	H13	NSP5	"KJ879458.1 |Rotavirus A/Rat-wt/GER/KS-11-573/2011/G3P[3] segment NSP5, complete sequence"	Rattus norvegicus	2010
JF712565.1	H11	NSP5	"JF712565.1 |Rotavirus A strain RVA/Horse-tc/GBR/L338/1991/G13P[18] segment NSP5, complete sequence"	Equus caballus	1991
JF712576.1	H7	NSP5	"JF712576.1 |Rotavirus A strain RVA/Horse-wt/ARG/E30/1993/G3P[12] segment NSP5, complete sequence"	Equus caballus	1993
GU983680.1	H10	NSP5	"GU983680.1 |Rotavirus A bat/4852/Kenya/2007 segment NSP5, complete sequence"	Eidolon helvum	2007
GQ479957.1	H9	NSP5	"GQ479957.1 |Murine rotavirus strain ETD_822 NSP5/6 gene, complete cds"	NA	2007-01
FJ169863.1	H8	NSP5	"FJ169863.1 |Rotavirus A strain 02V0002G3 segment 11, complete sequence"	Gallus gallus	2002
