accession	serotype	segment	Organism_Name	Host	Collection_Date
ZY68ZORC2T8.1	A1	NSP1	"ZY68ZORC2T8.1 |A1-RVA/Human-tc/USA/Wa/1974/G1P8 segment NSP1, complete sequence"		
D03EDF1O0EQ.1	A1	NSP1	"D03EDF1O0EQ.1 |A1-RVA/Human-tc/JPN/KU/1974/G1P8 segment NSP1, complete sequence"		
ORTRS9KB101.1	A1	NSP1	"ORTRS9KB101.1 |A1-RVA/Human-wt/BGD/Dhaka16/2003/G1P8 segment NSP1, complete sequence"		
KQC87X75DSM.1	A1	NSP1	"KQC87X75DSM.1 |A1-RVA/Human-tc/USA/D/1974/G1P8 segment NSP1, complete sequence"		
66AHY5MSW62.1	A1	NSP1	"66AHY5MSW62.1 |A1-RVA/Human-tc/USA/WI61/1983/G9P8 segment NSP1, complete sequence"		
JTPWX52ZFXZ.1	A1	NSP1	"JTPWX52ZFXZ.1 |A1-RVA/Human-wt/BEL/B3458/2003/G9P8 segment NSP1, complete sequence"		
98KKLIB1KXG.1	A1	NSP1	"98KKLIB1KXG.1 |A1-RVA/Human-tc/USA/P/1974/G3P8 segment NSP1, complete sequence"		
EC0C7KW7BY3.1	A1	NSP1	"EC0C7KW7BY3.1 |A1-RVA/Human-tc/GBR/ST3/1975/G4P6 segment NSP1, complete sequence"		
1WVTUS9FZ3E.1	A1	NSP1	"1WVTUS9FZ3E.1 |A1-RVA/Human-tc/BRA/IAL28/1992/G5P8 segment NSP1, complete sequence"		
RRVVCUQSNXV.1	A1	NSP1	"RRVVCUQSNXV.1 |A1-RVA/Pig-tc/USA/OSU/1977/G5P7 segment NSP1, complete sequence"		
YC42L1J8FZU.1	A1	NSP1	"YC42L1J8FZU.1 |A1-RVA/Pig-tc/VEN/A253/1988/G11P7 segment NSP1, complete sequence"		
4BCYNSP7DJ6.1	A1	NSP1	"4BCYNSP7DJ6.1 |A1-RVA/Pig-tc/VEN/A131/1988/G3P7 segment NSP1, complete sequence"		
QXSM2PGLBJ7.1	A1	NSP1	"QXSM2PGLBJ7.1 |A1-RVA/Human-wt/BGD/Dhaka6/2001/G11P25 segment NSP1, complete sequence"		
ANH60GT4QDF.1	A1	NSP1	"ANH60GT4QDF.1 |A1-RVA/Human-wt/NPL/KTM368/2004/G11P25 segment NSP1, complete sequence"		
APLHQO5S1X6.1	A1	NSP1	"APLHQO5S1X6.1 |A1-RVA/Human-wt/BGD/Dhaka12/2003/G12P6 segment NSP1, complete sequence"		
SB18DDOSMKP.1	A1	NSP1	"SB18DDOSMKP.1 |A1-RVA/Human-wt/BGD/Matlab13/2003/G12P6 segment NSP1, complete sequence"		
EGFWJ58CYCW.1	A1	NSP1	"EGFWJ58CYCW.1 |A1-RVA/Human-wt/BEL/B4633/2003/G12P8 segment NSP1, complete sequence"		
VVHHMJGKFH7.1	A1	NSP1	"VVHHMJGKFH7.1 |A1-RVA/Human-wt/BGD/Dhaka25/2002/G12P8 segment NSP1, complete sequence"		
